"","fpool2_eGFPorf_unt_24h1","fpool2_eGFPorf_unt_24h2","fpool2_eGFPorf_unt_24h3","fpool_eGFPorf_unt_24h1","fpool_eGFPorf_unt_24h2","fpool_eGFPorf_unt_24h3","fpool2_TNFAIP3orf_unt_24h1","fpool2_TNFAIP3orf_unt_24h2","fpool2_TNFAIP3orf_unt_24h3","fpool_TNFAIP3orf_unt_24h1","fpool_TNFAIP3orf_unt_24h2","fpool_TNFAIP3orf_unt_24h3"
"CACNB1",9.80559525100193,10.4000798702691,10.5894721325552,9.1581437806242,8.68283078499998,8.65546906443802,11.9760598214162,11.7196926622999,10.941158220445,7.82104921949535,8.40223033031223,8.53372083711825
"CACNB2",1.97399291705072,2.11356461879662,2.28471487791431,2.43747519084306,2.14060543235747,2.28988283069159,1.95527507288427,1.83957753846911,2.09091845799369,2.31274269447716,2.31689407779374,2.11730857041851
"CACNB3",16.5643753474256,16.6401277924305,16.3919226161471,14.7939245687006,14.6096320758397,15.5251175565128,16.5500068669133,16.5074673154016,16.898303261144,18.0667480380393,16.7486318876656,17.12118047044
"CACNG8",0.986996458525358,1.42581740156915,1.30555135880818,1.18351396549605,0.575287709946069,0.993722737847293,1.34425161260794,1.41318539379084,1.30189262478852,1.25584415130212,0.893260367342164,0.956550572422575
"CACTIN",41.453851258065,41.8519343166473,44.8964606167924,30.898168170629,30.4367334913327,34.2762335663269,43.5747016242781,43.5650945534142,43.4621729790512,30.5754531490287,33.1204195578587,33.5545043494751
"CACUL1",104.975655942072,102.172397564208,105.314476277193,99.175652418175,101.745651956741,93.4675444728831,103.001097589439,105.696521349391,100.863802344727,97.3714410776918,96.8070923107071,97.1919868136781
"CACYBP",65.1632227074242,65.3359856366097,64.3528023945865,64.3465271478627,62.8535270075961,60.3722567689254,61.4689601037994,62.4725405117193,62.4119434065286,49.5498905241478,62.3746965883146,62.9173825950759
"CAD",203.439280902352,205.368028793071,209.323401195578,187.460158463392,173.054570422149,191.385238597865,206.927459275869,203.644888298342,200.149553023044,173.182151874613,189.343283490059,192.438629204789
"CADM1",24.599813906507,24.5743822741035,25.2043942881024,19.1193863235493,21.0046908050077,19.4424013926644,23.5855055666666,22.2820352176159,24.1573409266315,19.9318631142306,19.5121561491304,19.1310114484515
"CADM4",6.72659542929782,6.8606978499033,6.96294058031029,6.49523735825809,6.9302100872573,6.27917556089014,8.30991905975816,8.0039896872464,7.60094885987643,10.1710942154963,9.50484859625022,9.11409983611622
"CADPS2",2.70351203856946,2.48259971096745,2.75616397970616,1.45121355292968,1.5251813705547,1.0657316318942,2.21714227014556,1.8639428038793,2.32762620795524,0.944991638603572,0.977003526780492,1.17150575723664
