"","fpool2_eGFPorf_unt_24h1","fpool2_eGFPorf_unt_24h2","fpool2_eGFPorf_unt_24h3","fpool_eGFPorf_unt_24h1","fpool_eGFPorf_unt_24h2","fpool_eGFPorf_unt_24h3","fpool2_eGFPorf_IL17_24h1","fpool2_eGFPorf_IL17_24h2","fpool2_eGFPorf_IL17_24h3","fpool_eGFPorf_IL17_24h1","fpool_eGFPorf_IL17_24h2","fpool_eGFPorf_IL17_24h3"
"DNAJC7",56.9668608127136,55.9759137533675,57.3173311832313,67.2771331576624,66.7601319216485,66.478610984103,59.2765238629846,59.7795875078033,57.3878129828889,69.9741595884483,70.2574641429267,67.5360316641275
"DNAJC8",61.1830522061969,60.169494346218,61.4153118372681,69.9541290319987,71.415948737026,72.0520993833335,63.0294206659983,60.6148312454373,63.0893205032,76.142379413808,74.6082359988842,71.7362591367511
"DNAJC9",52.9759620891111,52.7552438580584,53.817728235315,49.8203021665957,50.9731668580122,50.3918240540243,53.6265583463597,53.4108540083442,54.806258730351,53.4683156507134,53.754536413433,52.140233841813
"DNAJC9-AS1",2.47821936868867,3.01937802685231,2.62923537537758,2.22613341129019,2.14060543235747,2.23227571545406,2.36446245464595,2.72945721405389,3.03712265004464,2.74837136522359,2.34041520527366,2.3569621788823
"DNAL1",20.3621660682732,19.8440233653682,19.8371275907798,17.4850098950071,19.0380095640292,18.5350893276734,18.2146090256156,20.7916030403887,20.6524340203035,17.5364831996937,17.9131779172869,17.2843893118036
"DNAL4",5.82542474977467,6.03875605370462,5.78431782583068,6.76293694569172,6.95696765516177,7.04246983778734,5.75994051451543,4.75790629116498,5.0250574755284,6.23068281093302,5.46096881230522,6.39099360043086
"DNASE1",6.19018431053404,6.70972894856069,6.69095071389192,5.31172339276204,5.04380154999228,5.18464037137718,6.2273342555501,6.87584576873685,6.26751674145575,5.6216687015937,5.22092622714894,5.13696885141015
"DNASE1L1",11.8117728351785,12.5471931338085,11.623033624945,13.4413371795623,14.1948897733205,14.0849396755747,11.6298560269214,10.8283384557548,10.367632319016,12.3989026362928,12.6172383822766,13.5374237966573
"DNASE2",20.4158071801495,21.1859691550804,21.9042505755595,17.0905052398418,17.3790403539522,17.1237150043541,22.2012026991466,20.7916030403887,21.4807401975884,16.662001401668,16.067850543898,16.7404749628307
"DND1",4.89206940312569,5.21681425750593,4.6238277291123,5.83303311565911,4.89663492651771,5.41506883232728,5.25130614927183,4.92197202534308,4.63851459279545,5.48112698405386,5.91104865947323,5.0765339237465
"DNER",1.98472113942599,2.04646732931101,1.94019438045104,3.53645244451796,3.2510445003929,3.02437354997002,3.25800931250634,3.3857201507663,3.16136857663737,4.45048772209501,4.21574790180705,4.59305450243731
"DNHD1",15.9635948944101,16.4891588910879,17.7881372637614,15.780186206614,15.9341316871109,16.5188402943601,15.3552590804624,16.5706391519884,16.6075388545623,14.4757969066038,13.8924646159193,17.042649601149
"DNLZ",6.06144564203073,6.30714521164705,5.56672593269599,4.66360860213325,4.37486235238057,4.92540835280832,5.81492801346069,5.47382949485125,6.3365422562295,5.04388608504102,5.10090493457081,4.5779457705214
"DNM1",2.25292669880788,2.18066190828222,1.74073514507757,1.45121355292968,1.39139353103235,1.52658855379439,2.29572808096439,2.10302441082841,2.15359606094074,1.29610695064521,1.44025551093764,1.52598192350713
"DNM1L",122.945428420659,118.862848323753,116.647387377959,129.74976319349,133.613915330963,129.83203596657,119.171657089103,122.750999298708,120.283862044722,131.968672769912,134.46885567223,133.183471838766
"DNM1P41",14.129068868238,15.0465671671473,15.3220958082349,12.5396122534701,13.1914809769029,12.7023689098741,14.6954090931193,14.4526996744165,14.757655058626,12.4457498754727,12.0621399041027,12.2531815838048
"DNM1P46",3.18628204545686,3.67357659933698,3.64466421000617,2.01479163173732,2.7025143583513,2.44830239759478,2.98307181778007,2.98301334869278,3.11995326777313,1.71773210326474,1.90533801967792,2.29652725121865
"DNM2",123.674947542177,130.655196950848,131.244176875745,111.842069739377,109.746164760177,111.70019644556,127.749706924563,125.197070244636,125.33652972616,114.057411656779,111.229732896788,110.928309726627
"DNM3",3.036086932203,2.9522807373667,3.59026623672249,2.70517477827669,2.5821053027812,2.62112374330735,3.27175618724266,2.89352294823199,3.13375837072788,2.03004703113106,2.61046311357447,2.49294076612551
"DNMBP",72.318947031733,74.7631548093375,75.2505297090826,72.9692717536196,75.0817355399382,73.9675359649811,66.6860893458577,64.7313896666333,68.5837514791898,63.5873193135821,62.6211094026428,67.3245094173048
"DNMBP-AS1",1.85598247092268,1.69420655951157,1.21488807000206,1.1130667056451,1.41815109893682,1.02252629546606,0.879799983124076,1.37218614039868,1.39431539842958,1.04625500835216,1.24522091049817,1.07271996602977
"DNMT1",237.297550718722,242.355409622012,251.010381388634,211.116348321343,200.400804820516,214.240861568353,248.832179602014,247.903324343113,245.151018270421,222.94601125737,208.0569106842,205.206796881919
"DNMT3A",15.1053371043881,16.9923885622299,15.8842081988328,13.342711015771,13.5660869275655,12.8319849191585,15.9738684435965,16.9882610208054,15.7654275743226,12.9454537600588,13.5774087229017,14.7007961541826
"DNMT3B",6.02926097490491,6.37424250113265,6.11070566553273,4.24092504302751,3.78619585848227,4.76698878590513,6.2273342555501,6.10026229807673,6.37795756509374,3.82585786636238,3.96070265507851,4.42685845136227
"DNPEP",23.54844811373,24.6750282083319,24.4790879776534,25.6850709416583,23.9212657065947,25.059095128323,25.5416932600708,24.6098601267154,25.125287377642,23.7047030250534,25.219474102981,23.2523384185889
"DNPH1",20.6089151829045,23.1150162277916,22.3756996773513,21.5427720624222,19.653433625832,21.2714273014558,21.8712777054751,21.3583755766403,20.0312043873399,18.9419003750921,18.4382710723162,18.9463498225539
