"","fpool2_eGFPorf_IL17_24h1","fpool2_eGFPorf_IL17_24h2","fpool2_eGFPorf_IL17_24h3","fpool_eGFPorf_IL17_24h1","fpool_eGFPorf_IL17_24h2","fpool_eGFPorf_IL17_24h3","fpool2_TNFAIP3orf_IL17_24h1","fpool2_TNFAIP3orf_IL17_24h2","fpool2_TNFAIP3orf_IL17_24h3","fpool_TNFAIP3orf_IL17_24h1","fpool_TNFAIP3orf_IL17_24h2","fpool_TNFAIP3orf_IL17_24h3"
"GUSBP1",7.38207173340045,8.41209764331363,8.49013831717024,8.66673924829029,8.64153306562584,8.08317157501303,8.03731353589356,8.20299835395413,7.97570528872617,9.41801117640339,9.89434098151353,9.09124583296379
"GUSBP11",9.30663419648437,10.0080097848643,9.81542820082608,6.16821982535976,6.64617907651432,6.61762457916954,9.84363760890882,9.79486734145414,10.2075898962709,6.86481616339108,7.06115964319468,7.622354584843
"GUSBP3",8.74301233229551,8.81480444538716,8.80765568512945,6.52738199240602,6.79620569223699,7.52414849412427,9.03162036507627,9.43750899732148,9.30498950351387,8.53383080224738,7.15923130490572,8.19138452780871
"GUSBP4",2.66689369884486,3.16199414961434,3.05092775299939,5.21565929536749,5.25093155029348,5.42403475781248,3.13206651192553,3.55733988022961,3.20012866522964,6.25880489571111,6.36376115991619,6.37842866301099
"GUSBP9",2.15825933360125,2.74437228079736,2.56774914958319,1.74896359605137,1.81532205024432,2.08500500439588,2.45262351198401,2.50150840892859,2.6257465971115,2.36443740504642,2.78959393311395,2.75251693341553
"GVINP1",1.25096560100455,1.52133680783332,1.57378173684131,0.702708587699213,0.735130417041087,0.800762791543346,1.70689339009698,1.4619204987245,1.46057154464327,0.764965042809136,0.871748104098109,0.846928287204778
"GXYLT1",22.654849565445,24.0430875904638,24.8077700096828,25.1725831860251,26.3146683977565,25.2013648357415,22.8027699492568,23.7155992015307,23.484021127916,20.7931407090847,21.2815505912951,22.1392347577124
"GXYLT2",1.22347185153192,1.55116694132024,1.53236642797707,1.59280613211822,1.78531672709978,1.43532953201166,1.29259887793752,1.41318981543368,1.50980429333911,1.53986469656385,1.53645603347292,1.53505752055866
"GYG1",17.9259246561531,16.8540254201142,16.731784781155,19.7851506803312,20.3436090919942,19.9435261290041,16.4557780229738,16.5684323188776,16.673490891658,20.6838599886834,20.7258111749325,20.0219140397005
"GYLTL1B",52.5130614927183,48.1458354479014,49.0909461070852,31.1221825618785,28.2800170637234,32.4233386915476,52.3999698979287,55.3418126572707,52.8595611831008,38.3475982499125,37.3870968145076,37.8868075979262
"GYS1",83.9934046388766,80.9888124170089,82.5683207723499,80.3117837008234,75.1183264923413,77.1149676988159,83.6543478952386,83.5081475993627,84.9429024165569,72.6617444559224,77.0189449970679,74.6487885644086
"GZF1",19.6855246224012,20.1502551704197,19.258118621874,19.6602247091846,20.4336250614278,19.5658078311063,18.5438223642575,19.0212100445154,19.6274558134084,17.5544575408278,18.5028535094824,18.0236926120767
"H19",84.3783171314934,74.978040519393,54.2954699210253,122.286910006056,117.695880034435,114.735710169437,77.5393608957649,79.3822830807402,72.8480571536121,230.870423764176,191.348708849535,229.252900742743
"H1F0",100.888313689806,99.8414567807473,96.718551300967,113.870022700059,119.031116914367,128.650852263992,107.302278649301,107.467400217348,109.592098596941,198.334572917423,182.119075797396,182.341013584291
"H1FX",108.696538540032,105.046815074216,106.4097335752,99.7377722141083,100.067752687021,104.809273300683,107.932006307783,108.653180177424,109.83826234042,135.786262404094,123.984374105354,126.377580356338
"H1FX-AS1",1.29220622521349,1.46167654085946,1.43573070729383,1.5771903857249,1.33523687993177,1.58641685117078,1.40860134134217,1.52689474311225,1.49339337710716,1.95711835627792,2.08129859853423,2.19672024493739
"H2AFJ",13.6506466131595,13.214749134709,12.5350334829115,14.7100331025035,15.7077866661636,16.2116693457738,13.4894293159121,13.4983992715562,14.1462097919382,19.6506604503438,18.6009251711934,19.4925838601975
"H2AFV",68.5006768110511,68.7584576873685,69.4948882742032,72.3789845330189,76.9336485425856,74.516265809279,67.165426311292,68.1092516794647,67.5801530431572,74.6884050888193,70.4917310676333,70.3479808559469
