"","fpool2_eGFPorf_unt_1h1","fpool2_eGFPorf_unt_1h2","fpool2_eGFPorf_unt_1h3","fpool_eGFPorf_unt_1h1","fpool_eGFPorf_unt_1h2","fpool_eGFPorf_unt_1h3","fpool2_eGFPorf_TNF_1h1","fpool2_eGFPorf_TNF_1h2","fpool2_eGFPorf_TNF_1h3","fpool_eGFPorf_TNF_1h1","fpool_eGFPorf_TNF_1h2","fpool_eGFPorf_TNF_1h3"
"B3GNT2",28.8952167890764,29.5613889892068,28.5567673529583,32.9263275051349,32.4551610053437,33.0272944091978,28.8286876344873,28.8360687628205,28.6896910165533,33.8355029835855,31.1251752139331,32.8165659837816
"B3GNT3",7.39999454354396,8.10991141227381,8.52723643585352,5.26130477966666,5.30721690210334,5.11876769577875,7.46524531321004,6.85116610402185,6.92549851999423,5.48616739499075,5.8474971907668,5.80814348883851
"B3GNT4",0.973241912756348,1.03278621325408,1.1559142724157,1.37001152905981,1.46314250433927,1.33590578106887,1.1581830840056,0.880864213374237,1.23171617973052,1.29086291646841,1.42119133949991,1.21049262004474
"B3GNT5",86.9541308948861,83.11389378466,83.8795824073458,93.1722966779919,84.4233225003757,95.6296910606729,101.643154568057,99.2195662564592,101.581724935888,104.957084823624,98.0296560589403,102.214441054053
"B3GNT6",1.84580362764135,1.91319413274935,2.35920208058614,1.19732100018672,1.3966360268693,1.23009146177629,1.96387566418342,2.34897123566463,1.84757426959577,1.3653357770339,1.2476107178816,1.28823067821275
"B3GNT8",2.11428415529827,2.15022703415193,2.26445500907666,1.57724016370751,2.38093189342481,1.98401848673595,2.0897651298362,2.49578193789367,2.07997354879021,1.79976079699923,1.67071348307623,1.56586660024136
"B3GNT9",8.15509602757905,7.21257257124977,7.23867626332454,6.40106227022903,6.47773090557475,5.978509040031,7.85550265673367,7.5974538403528,7.70403610529559,5.79647098068027,6.32484390021716,5.58603475121562
"B3GNTL1",0.906121780842117,1.1005098993691,1.21276251532139,1.07068127901313,1.62275805026719,1.86497737753179,1.09523835117921,1.18671984301807,1.19685628785135,1.46463292445454,1.38864497294648,1.48812854207335
"B4GALNT3",22.7033846199886,24.0080467277751,22.5308536049552,27.4347686869708,26.8819181933605,25.6335188486285,22.1817238480204,22.2295871625137,21.5317932173646,25.171826871134,26.6120790518571,26.231041913263
"B4GALNT4",24.3478278518873,24.3297342368214,24.1131296991636,22.8412006189467,23.968934480176,23.1468823452528,23.566507970201,25.4716568367384,25.610400567227,23.5830725124037,23.2164081414489,22.6550912375345
"B4GALT1",160.43389530799,160.369688720371,161.799574016745,185.79198366359,176.321973068376,178.905560343937,186.039452341683,180.332479238004,185.408144941322,193.331546028,189.669375484557,195.311318428686
"B4GALT2",69.7042569929288,71.1775941068875,70.7381635889804,53.9830593257264,58.0867574222689,56.4651661325052,72.0465411930878,72.1329916952014,69.9289431096061,56.2766583006517,55.6868331729239,53.4837840195913
"B4GALT3",15.6725508019729,16.8293359995828,16.2775468853293,15.1852538389066,15.92165070631,16.2028176416769,16.5166978936451,16.0513034437083,17.3137462999856,15.7013614358898,15.9043244557776,15.5031898860775
"B4GALT4",21.9482831359535,21.0112736171854,21.3938887468414,25.8114777155638,25.5650899394552,26.1493636551798,21.4893317869301,21.3609571743253,21.7293326046799,25.8917311899337,25.7224783660633,24.4208557016365
"B4GALT5",57.8911137760241,56.1598667108815,56.6019005197655,55.2034057297629,53.3248936354193,52.9732935958499,59.6212509331581,61.7216660621254,60.1100735636412,56.860029041748,55.7085307506262,56.4711465406191
"B4GALT6",7.78593530205078,8.00832588310127,7.42817040634351,6.29744795290518,5.01458840123548,6.21659125843931,7.47783425977532,8.22139932482622,7.85509563677197,6.35501743492141,6.02107781238511,6.44115339106374
"B4GALT7",16.1927318243082,15.4917931988111,15.4437726560458,13.6310390790489,14.2855913605488,14.8933654404312,14.9179016798548,15.9411954170365,15.0129934359606,14.9814571170901,14.1468206618922,13.9373232858362
"B4GAT1",6.54421286163751,6.0274080642369,6.15855964811643,6.43560037600364,6.03878815427297,5.40975707383336,5.29994650398217,5.93359921509035,5.82160194382065,6.54119958633512,6.20550722285457,6.41894251730145
"B9D1",6.66167309248742,7.11098704207724,7.33342333483403,5.44550801046462,5.82596742636908,5.93882867029628,6.40777380172666,7.09585060773691,7.62269635757754,6.13159885322495,6.1404144897477,6.16351746903513
"B9D2",2.5002249138051,2.64122375848583,2.46342385924657,2.03774824070241,1.82227748267709,2.0104720665591,2.31636616801121,2.53248461345093,2.47505232342075,2.0107672352681,1.92023562665255,1.84350252226997
"BABAM1",39.4498575325892,40.414109689139,40.3054042201343,38.2797339002006,40.1433098008719,38.4502782729427,39.4663474821475,39.0394125677388,39.5775972468126,37.3853760038736,39.3268595853983,38.769080152075
"BACE1",25.6902304901719,26.4799612709734,26.5765535584101,27.1930019465485,27.2809570581803,27.1016925288131,25.3541383824705,24.1258920663055,25.6220205311867,26.8102298035747,27.7620506700784,26.2532527870253
"BACE2",99.8076361564613,105.124091772042,102.061545430016,91.1921119469139,90.3956041771787,86.6222471308916,100.182836766485,100.810015530607,101.604964863808,91.6016184955469,90.565689329353,89.9762496110317
"BACH1",101.066138629853,98.5041014542986,99.0201644345613,153.867261225919,144.531876837732,153.549804083451,118.411631393008,114.463410837908,118.337712965807,158.217592271373,156.840940420994,158.407951672643
"BACH1-IT2",1.1913823414776,1.13437174242661,1.53490255845363,1.8305196060547,1.5961554592792,1.42849331044988,1.47290674813756,1.72502575119122,1.3827757112069,1.78734865357165,1.69241106077852,2.01008407548713
