"","fpool2_eGFPorf_TNF_24h1","fpool2_eGFPorf_TNF_24h2","fpool2_eGFPorf_TNF_24h3","fpool_eGFPorf_TNF_24h1","fpool_eGFPorf_TNF_24h2","fpool_eGFPorf_TNF_24h3","fpool2_TNFAIP3orf_TNF_24h1","fpool2_TNFAIP3orf_TNF_24h2","fpool2_TNFAIP3orf_TNF_24h3","fpool_TNFAIP3orf_TNF_24h1","fpool_TNFAIP3orf_TNF_24h2","fpool_TNFAIP3orf_TNF_24h3"
"C21orf33",23.5424393595001,24.441091734522,23.3232913342086,29.9827000384855,31.4924430166816,31.1828437438106,24.1382604582285,25.3795894180028,23.5970343963283,36.5969966277575,36.5825545057719,37.6480305383292
"C21orf58",9.65188945541326,9.85078221999746,10.2519961908609,8.61251960069834,7.90425712638469,8.55148901591932,9.28062073737262,9.81708912173854,9.57010033350356,9.40130360598566,9.07908667933365,8.23306411772459
"C21orf59",29.6706231407148,29.3316333791198,29.0003342248978,37.2037411322683,37.8047744521131,36.8791711243002,27.6545204891585,28.5822135741109,28.2611627177109,33.8080305162326,33.6822907054292,31.1605844455652
"C21orf62",20.7507111925022,25.4633427196161,23.8743361294674,17.1225092061503,16.694455506865,19.0624026836041,20.1032079637186,23.2069549402409,21.6277357717445,16.1052972637359,15.6922485815643,16.9481272423413
"C21orf91",20.1208700816551,16.7625928578494,18.3126281959253,30.9494114222374,29.0007332395375,28.9015136135408,22.0919124074413,19.2157449366489,20.6776355581295,33.336655962172,31.3704862268951,31.1215034450064
"C22orf23",21.8912342851172,21.5485861062444,21.8111218960566,25.7496759490267,25.1524259170595,26.7041588254895,21.7460507650548,21.9838421972047,21.9041285611598,33.022406259465,33.5561922793273,35.7591155113196
"C22orf29",59.6476554704904,62.3224606253377,62.8191066595003,52.9054775471469,52.1044200065008,53.632251896895,61.4769069342106,61.3326666277796,62.3092994638038,53.8807302766448,52.4849671308393,53.9838887719157
"C22orf39",7.13252501202496,6.52846651844171,7.7915171050543,7.1478053828925,7.12905852905099,7.96366162038968,6.88841104419893,7.29039569204518,7.4107816661968,8.36689833457498,7.90216803571633,8.58479312275397
"C22orf46",9.78807131721803,10.3154417586766,10.7389660099268,11.2050637662147,10.6174522170526,9.82511503956688,9.75618049565414,10.2677096060151,10.537475096457,12.3343008312514,13.2963784856291,12.6361901806849
"C2CD2",90.7481881601553,88.9823016570525,90.7429812843577,65.0333112705793,62.9987288654584,64.7589847408489,92.5179893384041,92.3932928654114,93.1789191316213,49.9918902056452,52.919306154079,46.4412556640636
"C2CD2L",12.2223220969783,12.8246032675439,12.0204655337844,9.28628814088902,8.6517700595279,8.97136572701192,11.355790591692,11.8770684784312,12.0921845369179,7.1360869989724,7.28568684144058,6.31809509034245
"C2CD3",33.1602833494621,32.0963576342606,31.2685883821258,34.0985469905199,32.4060699349677,33.5201574355594,30.6087553512103,31.0606262376318,30.9559924145097,35.614966306798,34.6210234330763,33.9874434859865
"C2CD4C",10.2136396353579,10.5129220626152,10.5723710718253,4.32090694252723,4.34664927790682,4.67462738349763,10.7073000122172,11.4103544054305,10.7793187871953,4.91015160479752,5.05794798030779,5.11961107320532
"C2CD5",24.1722804703471,23.2213604454893,23.5283312580258,25.5592631007119,28.1009491533466,26.8721095099265,23.8788642264386,24.4139740945531,25.376312978189,28.9240663866606,29.913348858607,28.3467524053302
"C2orf16",1.22563675624295,1.06871693896199,0.935494652416059,1.08388852117632,1.45349737000069,1.32960958512657,0.778188695369754,0.8368666136564,0.760080170891979,1.20462386037699,1.37307175088688,1.45902402086259
