"","fpool2_eGFPorf_unt_24h1","fpool2_eGFPorf_unt_24h2","fpool2_eGFPorf_unt_24h3","fpool_eGFPorf_unt_24h1","fpool_eGFPorf_unt_24h2","fpool_eGFPorf_unt_24h3","fpool2_TNIP1orf_unt_24h1","fpool2_TNIP1orf_unt_24h2","fpool2_TNIP1orf_unt_24h3","fpool_TNIP1orf_unt_24h1","fpool_TNIP1orf_unt_24h2","fpool_TNIP1orf_unt_24h3"
"BUB1",63.7470973538878,62.3166076097574,63.6456287418987,62.5430772956782,63.2950268780199,63.3102196460392,63.618866502509,58.3039739189276,63.4930416816671,62.704843006637,64.7001544409533,61.9968132340026
"BUB1B",51.2701747314422,53.8791234569423,50.3181252873986,52.5395663968425,53.7291963521724,54.2370989961291,52.1299232376128,49.6850071999456,52.5426713182876,50.0712004360757,51.5360537538329,53.6717208983085
"BUB3",81.8241520562272,80.2651325471572,83.1745011507378,86.9037397521386,89.4505495046377,81.3124431577655,79.5764666414384,77.3528434921597,78.6587672667183,80.4355538850623,84.4112945655511,81.2816927065729
"BUD13",17.7444798087059,20.2969300693961,18.3502496543594,18.3162875612484,18.2219037429429,19.500008507902,17.55732641632,19.2531104907435,17.6734439888786,17.8261105526366,18.170660256956,17.2884870201282
"BUD31",27.9041063980919,31.149916643693,28.9215891291534,29.5174018775503,29.3129156393451,29.3508252135186,29.0462696812162,28.9749781642873,28.5879898036319,27.7885622452799,27.3785285567237,27.5284864020423
"BVES",5.55721919039278,5.8542385076192,5.65738922150211,3.45191573269681,3.09049909296609,3.28360556853888,5.30157220854242,5.03794263194844,5.43338987495929,3.44801679649623,3.34354153090424,3.87055679555109
"BYSL",30.4788797681581,31.3512085121498,31.8953450019943,31.5181040573174,28.6305976577811,30.7045924216004,27.0499170540593,26.9734171726753,29.3761298734063,27.8158192950546,28.0962521314205,26.7543750429321
"BZW1",286.336255196107,265.738815007746,265.788497464032,308.643534859006,331.539645120315,304.050354223653,267.86821575381,249.541553015457,266.212220840588,292.481772607137,312.892467661688,294.895685117882
"BZW2",43.6745932897471,43.8984016459583,44.134888990821,53.6526331024876,51.6421060556239,53.4882064980413,43.3248182728017,43.5441636134354,43.1566395782481,49.3897741917089,51.4310210355846,49.529546082017
"C10orf12",22.7223749908338,21.1188718655948,23.0828733300391,25.3610135463439,23.8142354349768,23.7197296990506,19.9106427582665,19.1986462460738,19.7870923578188,22.5415801636552,21.0415545557429,21.9059933727155
"C10orf2",27.5608032820831,26.2014915441295,27.3440479039269,28.5734085955475,25.5267197808628,27.8962455537711,23.8108018643015,22.4665009262566,24.5517573250908,25.8533117112781,26.3632122803235,25.7086456630815
"C10orf35",3.50812871671513,3.99228872439361,3.73532749881229,2.78971149009783,2.67575679044683,2.86595398306683,3.43742836464097,3.45847953652677,3.4391566681061,2.52127710415732,2.88839975182827,2.9877982281447
"C10orf54",3.07899982170411,2.61679428993867,3.0825518194082,2.77562203812764,2.39480232744992,2.7363379737824,2.24754931534217,2.13772160328623,2.44801082278386,2.2895921810726,2.39824706666953,2.24084867110853
"C10orf55",11.8439575023043,11.0375041203823,12.4027379086777,7.28424666858879,7.65266442067795,8.02179079682525,11.8062443447092,11.1107059126214,10.6995985229968,8.8312841269943,7.70239933820873,8.37941593984219
"C10orf76",26.4987092669308,26.3356861231007,25.7302413631779,26.8685849071544,25.2323865339137,26.5856836821174,25.1196688185302,24.1957406945199,25.8175580432131,26.6028805800816,26.3982231864063,25.3147995330078
"C10orf88",7.44538632844129,6.94456946176031,6.94480792254907,7.14335214888688,7.71955834043912,7.04246983778734,7.50945888890796,7.24374454107181,6.68724907687297,7.46843163826061,7.21224665304999,7.95840800769453
"C10orf95",2.25292669880788,2.43227674385325,2.48417411328779,1.9020760159758,1.89978732121725,2.05945436974149,2.65739654343398,2.26026615379308,2.19723898240112,2.27596365618526,2.15317072409017,1.87416434310895
"C10orf99",1.45903824303749,0.905813408055693,0.924765545822461,2.14159669946904,1.92654488912172,2.1314632637884,0.489172498045061,0.531026385529701,0.417953067304561,5.5059240544841,4.18380327689065,4.78047716503152
"C11orf1",4.09818094735529,3.82454550067959,3.64466421000617,5.56533352822548,6.16761940197995,5.55908662042109,4.19101842919687,4.57499655225588,4.06011551095859,5.28786765628671,5.84682131582208,5.35087500858642
"C11orf24",38.4821336601137,40.0403075005359,40.3088982032025,37.3793160769169,33.9285961028659,38.4671511998568,34.7444682395249,33.9856886739008,36.4932735337925,35.1752227342165,34.5732697567323,34.2510324153679
"C11orf31",33.901182705871,35.410594526029,35.7938664206576,34.5755151348489,32.5372025718335,35.8172238989307,35.11465283264,37.0901506200745,36.0992034989053,32.2723469332137,32.3850881265594,31.9966028432224
"C11orf45",4.6667767332449,4.68003594162108,4.17051128508168,5.28354448882165,5.29799844508473,5.44387238994604,4.5744239006376,5.26941567179472,4.75272345106329,5.53318110425878,4.77898868029769,5.03851428473493
"C11orf49",12.7236717370769,12.8826795812365,13.8533505295757,12.6945962251422,11.9873904212018,13.0912169377274,13.802596971866,14.6644978773202,14.6044743232422,12.3474435479272,12.8490025323755,12.100582823986
"C11orf54",3.17555382308159,3.23744421768053,3.1550824504531,4.98766599744764,5.08393790184899,4.98301546804585,2.81604708334049,3.21339043551306,2.90178843871452,5.60132372869546,5.16410864720812,4.80763896710557
"C11orf57",22.7331032132091,22.6117865566495,22.4119649928737,27.1785528504986,27.3997495341756,26.9025228159238,21.140184442542,21.5542248280389,20.658823041054,24.8311723447278,25.0327978491784,26.2247199024883
"C11orf58",89.2373537175427,89.8432706212276,90.2281050198542,90.0034191855806,94.7485479497224,89.910305106966,85.2085608081194,82.8537322038007,83.8652683337123,86.2685625368425,96.2099699154435,90.2994109951551
"C11orf63",3.63686738521844,3.62325363222277,4.04358268075311,3.21239504920357,3.19752936458397,2.93796287711374,3.93982174101157,4.23459502307018,3.80934367057585,3.62518762003161,3.78117785693883,3.23225444681109
"C11orf68",24.481803460379,25.4130983926736,25.6939760476554,22.2613341129019,20.4962970148228,22.1211322512093,28.6496433314499,31.3169406850849,27.9909139931969,21.4104125980062,22.7920998598813,21.6479562530121
"C11orf70",1.92035180517434,1.9793700398254,1.63193919851022,2.19795450734981,2.23425692002311,2.60672196449797,1.93024823552916,2.08325735861652,2.16141443377501,2.1805639819739,2.38074161362815,2.24084867110853
"C11orf71",1.38394068641056,1.27484850022653,1.3236840165694,1.56392916869121,1.98006002493066,1.9010348028383,1.6922724256694,1.44330248374739,1.3732743640007,1.7717082353538,2.29321434842123,1.68403172859065
"C11orf72",30.1784895416504,31.2841112226642,29.1935789955718,32.3352922715885,33.5406113682511,30.3589497301753,30.0510564339574,32.052207988126,29.1611825816496,32.2450898834391,32.9627680769251,33.6127300666279
"C11orf73",14.9873266582601,14.8452752986905,14.6149221555471,17.5695466068283,16.736858724245,17.008500773879,15.4552067625588,15.2499885075196,15.5836786523558,15.7682032946488,16.9102676379764,15.5365507863525
"C11orf74",3.21846671258269,3.17034692819492,3.227613081498,5.32581284473223,5.00366519813558,5.27105104423347,3.56963714789639,3.11807800734106,3.64216244365403,4.68821256124389,4.77898868029769,4.5767636494762
"C11orf80",8.63621901209688,8.7897449226145,9.17512482717971,8.41140282620407,8.9637852479969,8.16580858491906,9.92887962248218,10.1575816309015,9.79204329113542,8.44968543014887,8.96279195718833,9.04488009065624
"C11orf84",22.8618418817124,23.6853431884192,24.9505370794452,20.1479163173732,18.8640853726502,19.615222738377,22.2771799785386,22.003554846564,23.2501320583423,21.0151853762735,20.6214236827497,19.665144701607
"C11orf91",1.35175601928473,1.14065392125532,0.997296176867359,1.2680506773172,1.45828745079352,1.38257076570058,1.1898790492988,1.41607036141253,1.19415162087017,1.79896528512847,1.73303985109696,1.54822271822044
"C11orf95",17.1973404675668,16.8917426280015,16.6095145092818,13.1877270440988,12.3753751558166,12.9039938132054,14.5694079147475,13.6432932897631,15.9180411061994,12.1157586248425,12.9015188914996,12.8067896779112
"C11orf98",25.4687999189044,25.7318105177302,27.1264560107922,27.432162985962,25.4598258611016,27.7522277656773,24.3396369973232,22.28949213108,25.1368916193171,26.0441110597008,26.1531468438269,23.9702903303427
"C12orf10",15.1482499938892,15.868508963346,15.8842081988328,15.6956494947929,14.3286776128428,15.1074659710407,17.0813747966005,17.7961919458287,16.2762865924605,16.0135167426208,15.5623477537899,15.5093889842784
"C12orf29",15.6310200007766,13.5201038313498,13.5632280053961,15.6392916869121,16.2150861501078,14.8626357312813,12.3747421127075,11.85958927683,13.3983811861633,15.1958052493806,17.4704421353007,15.9168160153891
"C12orf4",15.9635948944101,15.281407680347,15.6303509901757,16.6537322287659,17.3389040020955,17.3685452441136,14.2124441999578,14.0245430024511,15.3448483281817,15.7682032946488,17.3654094170524,16.2835003433886
"C12orf43",17.8839466995845,18.3678829966849,19.6376683554064,16.8509845563485,16.8974041316718,17.6853843779199,15.0585804127925,14.8687387948316,17.5182042781654,17.3763692313545,16.4201149528177,15.5908743905005
"C12orf45",6.89824698730223,7.24650726444554,6.74534868717559,8.70728131757809,8.38849753805083,7.97858546039711,6.16092929970266,6.15445964767756,6.83054727137739,7.63197393690866,7.49233390171212,8.01273161184261
"C12orf49",41.4109383685639,41.8016113495331,40.9435412248454,40.2535642788359,39.7885034739444,39.2016419191353,40.5880964594145,38.2883640028082,39.5383601670114,38.8412959289101,38.7045566744988,38.773472460696
"C12orf57",17.9912289233372,18.6865951217415,17.4436167662982,16.8509845563485,15.1581622178813,17.0661078891166,18.4563461424569,18.6676198605441,17.9122743130526,16.0544023172829,15.6148641129141,16.3649857496108
"C12orf60",1.20156090603087,1.20775121074092,0.888500230300011,1.56392916869121,1.63221164217257,1.5985974478413,0.978344996090122,1.03482064872454,1.03891191015705,1.24019576474766,1.19037080681408,1.52106091614639
"C12orf65",29.2558624173767,30.5795896830653,29.6468954396024,22.4585864404846,22.4763570397534,22.8988283069159,29.4164542743314,30.0914951800164,28.9820598385191,23.5364624804308,25.2953796447991,24.6764971842678
"C12orf66",6.70513898454727,6.8103748827891,7.16239981568376,7.07290488903592,7.67942198858242,7.3017018563562,7.76065557709326,7.93816366061065,7.66645340598651,7.7955162355567,7.50983935475351,7.74111359110218
"C12orf73",4.23764783823388,3.48905905325156,3.60839889448372,3.69143641619006,3.61227166710323,3.51403402948898,3.67540417450073,3.92142561621933,4.09594005958469,3.61155909514428,3.9212214812699,3.88413769658811
"C12orf75",47.6869484581002,50.2558698247195,49.0125739285904,44.2831475423106,44.7520323202233,41.2178909524486,48.4677399414376,48.3778653278725,48.1004272886506,42.153027476533,43.2734799182999,43.3638170112092
"C12orf76",1.11573512702867,1.34194578971214,0.997296176867359,1.50757136081045,1.87302975331278,1.77141879355387,1.3485295892053,1.18459732156626,1.19415162087017,1.54002331226907,1.45295260243483,1.29018559851703
"C14orf1",32.1846671258269,30.0931343342947,30.8980488251269,37.7738207320823,38.0358827762018,37.6318480289127,30.8046464985133,33.1823410650226,31.7644331151466,34.7936240373711,37.0940549946916,35.2967617952186
"C14orf119",25.8013748125379,25.8660050967014,23.9713735603391,32.9834070622173,31.5873089112249,32.6776361184856,26.1508973279224,24.7131510188822,26.7489963074919,31.0457796933534,30.5470155572141,30.5570273332981
"C14orf132",3.08972804407938,3.00260370448091,3.0100211883633,1.00035108988357,1.00340879641756,1.02252629546606,4.25712282082458,4.4388359405816,3.83322670299326,1.47188068783238,1.29540352506238,1.53464181718342
"C14orf142",4.06599628022946,3.80777117830819,3.02815384612453,4.45226682258038,4.46851384004621,4.6373727766207,3.56963714789639,4.46606806291646,3.4510981843148,4.37475648883514,4.98905411679429,4.78047716503152
"C14orf159",17.3689920255712,19.62595717454,18.5678415474941,16.1324225058688,16.509419397057,15.9427691419848,21.8937745070979,23.9506515935062,22.6172316992811,16.9538849598471,16.4201149528177,17.125516207684
"C14orf166",60.3033379714243,58.6094823656776,61.1070566553273,67.4321171293345,71.7102819839752,68.0340030955161,61.5828512403755,61.1361146417527,60.7464929536657,63.999552870934,66.4857106511744,64.0475292905928
"C14orf169",21.5529987519287,21.4040353459086,22.5570262549635,15.3152342915977,13.5125717917565,15.3955015472284,19.7652130966856,18.8582447168881,20.7424136545149,13.7102960366609,14.3194605878517,13.1055695007256
"C14orf2",29.309503529253,25.765359162473,28.9397217869146,34.5473362309085,33.0991114978273,35.6155989955994,28.504213669869,29.7238615284958,29.4836035192846,35.0934515848925,34.5032479445668,33.2053030355173
"C14orf28",1.3195713521589,1.12387959888391,1.28741870104695,1.2680506773172,1.68572677798151,1.49778499617563,1.41463398083301,1.6883915847611,1.49268952608772,1.75807971046646,1.48796350851759,1.52106091614639
"C14orf79",5.71814252602191,5.8374641852478,5.92937908792048,5.678049143987,5.48530142041601,5.90472931184624,5.53954801840218,5.86852236316156,5.80357687742904,7.34577491427458,6.00437039319453,6.69538421125154
"C14orf80",17.3368073584454,18.4182059637991,17.6430760016716,12.2719126660364,11.1177694643066,13.0048062648711,17.2929088498092,16.6388267465973,16.9450115001478,12.3747005977019,11.8511917090166,11.5573467825052
"C14orf93",4.89206940312569,6.30714521164705,5.67552187926334,6.90383146539363,7.03724035887518,6.94165738612167,6.53111389281784,7.39352121391352,6.30512055819451,6.71886276945709,6.58205034356018,7.02132583614005
"C15orf38-AP3S2",13.077703075461,14.7614036868335,13.5269626898736,13.934467998519,10.6896483778351,15.2226802015158,16.2087968271147,15.6584703425425,14.8910707122511,12.5654999461246,13.0065516097479,14.5315641096129
"C15orf39",44.9405235300296,44.0158219025581,45.4404403496291,32.8002441866048,28.0419311638828,33.4121268377641,40.284016257927,38.0568909629619,40.0876699126117,31.4682639648609,30.7045646345866,29.7693350731509
"C15orf40",8.9795221281057,9.39362052798496,8.43168585896949,8.56638679787618,8.30822483433742,9.63479002347593,8.75222145150893,9.25892159385119,8.78895592960447,8.38154280571219,8.52515563115375,8.31151143465708
"C15orf41",14.4080026499952,12.7988079693795,13.4000340855451,14.5684933371776,14.5561169400308,14.2721628000966,13.5514002836807,13.5615969227585,13.0759602485284,13.5331252131255,15.5273368477071,14.3414314950946
"C15orf52",72.6407937029913,79.2754475272445,76.900601565354,70.2500075233727,70.1717218294682,69.3157614095511,64.7029785252034,59.3796427511545,59.9105868190566,70.146017595123,71.4922702210101,70.4033909759188
"C15orf57",6.30819475666207,5.95488444184761,7.14426715792254,6.35434283855618,6.56898292054698,6.26477378208076,6.66332267607326,6.78079846137925,6.49618481753374,5.92840832599155,5.82931586278069,6.17930997184473
"C15orf59",0.632965120141262,1.04000798702691,0.797836941493888,0.943993282002802,1.0970602840832,1.10893696832234,0.72714830790482,1.23906156623597,0.991145845322244,1.22656723986032,0.980305370317474,1.23586199436895
"C15orf61",4.76333073462238,4.57939000739267,4.78702164896333,3.95913600362369,4.17418059309706,4.45014965209875,4.5744239006376,5.21495142712501,4.78854799968939,4.64732698658188,4.11378146472511,4.40021193599493
"C15orf62",3.08972804407938,3.50583337562296,3.11881713493065,2.73335368221707,3.07712030901386,3.24040023211074,3.23911518975784,3.09084588500621,2.62713356591438,3.89775811777835,4.2363196360148,4.33230743080982
"C16orf13",25.2005943595225,24.9601916886458,25.657710732133,25.1778506707315,23.0382659657472,25.7503805111733,27.4333225255,26.8236404998336,26.4862829509004,27.3933350235471,27.8511757888411,25.2333141267857
"C16orf45",3.50812871671513,3.62325363222277,3.06441916164698,3.33920011693529,2.80954462996918,3.25480201092012,4.00592613263928,4.57499655225588,4.41836099721964,2.99827547521412,2.99343247007657,2.70259930636725
"C16orf46",0.93335534664898,0.989685019912701,0.888500230300011,1.1130667056451,1.15057541989214,0.964919180228531,0.951903239439037,1.00758852638969,0.991145845322244,1.22656723986032,1.03282172944162,1.1407956871098
"C16orf52",14.4723719842468,14.0904307919774,12.8560543527083,13.4272477275921,15.5862833043528,12.3279226608302,15.5345320325121,13.4662844945865,14.2104042883551,14.2145514574924,13.8643188087757,14.3550123961316
"C16orf58",27.5393468373325,30.7137842620365,28.9397217869146,29.9119065327157,29.5002186146764,29.5092447804218,31.9945255478121,32.6649307406603,32.2898598283295,30.8549803449307,29.811786529476,29.9187249845581
"C16orf59",8.08907967095783,8.7729706002431,8.39542054344704,6.66431078190038,5.88666493898304,7.48892498087815,8.461362128347,8.3466454956335,8.968078672735,6.97780474231649,7.50983935475351,7.51023827347282
"C16orf62",28.1079426232222,28.2815075181833,28.5045380006453,31.1095099501819,31.3866271519414,30.8054048732661,29.4693377876335,28.7026569409387,28.3730425118753,28.6062737385201,28.6389211757034,29.0223855161147
"C16orf70",16.4034520117964,15.4994738711752,16.3556573006247,18.6685238605032,16.2953588538212,18.3046608667233,14.3710947398644,15.5223097308682,14.4850591611552,18.7119646703135,18.4332420525768,17.7366567543499
"C16orf72",75.6446959680685,72.616041545798,72.2767738362417,64.2056326281607,67.8438134217795,62.546925369142,75.1210306457307,74.0849888119769,71.9476351574279,63.3044981016798,64.3325399270842,63.1783516242234
"C16orf74",32.1095695692,35.2763999470578,33.9987333022963,30.8558998147185,29.8614457813867,31.0070297765974,38.3273262657468,38.2611318804733,36.2663847258272,34.5619391142863,33.9780843533253,32.9608468168509
"C16orf87",4.52730984236632,4.22712923759323,4.15237862732046,4.7340558619842,4.76284708699537,4.8678012375708,4.08525140259254,3.49932772002905,4.07205702716729,4.48378468793384,5.33916317762196,4.6989917588094
"C16orf91",7.02698565580554,6.64263165907508,6.87227729150417,6.49523735825809,6.36830116126347,6.97046094374043,6.70298531104989,6.31785238168669,6.98578698209051,6.43266374682301,7.47482844867074,6.41018528947409
"C16orf95",1.98472113942599,1.66065791476877,2.04899032701839,1.97252327582675,1.79275704959938,1.68500812069758,2.15500316706338,2.23303403145823,2.41218627415775,1.6626800362551,1.6980289450142,1.91490704622001
