"","fpool2_eGFPorf_TNF_24h1","fpool2_eGFPorf_TNF_24h2","fpool2_eGFPorf_TNF_24h3","fpool_eGFPorf_TNF_24h1","fpool_eGFPorf_TNF_24h2","fpool_eGFPorf_TNF_24h3","fpool2_TNIP1orf_TNF_24h1","fpool2_TNIP1orf_TNF_24h2","fpool2_TNIP1orf_TNF_24h3","fpool_TNIP1orf_TNF_24h1","fpool_TNIP1orf_TNF_24h2","fpool_TNIP1orf_TNF_24h3"
"BUD31",29.2961230207517,30.5745976450864,29.1284841772836,29.1771072186923,30.5096019379192,29.797250597205,29.2420968287473,29.6439562457567,28.7285849996434,26.9233794889301,28.9444478188239,28.048226482015
"BVES",6.55375209935468,5.41328362561181,6.1768277049937,3.55925554926819,3.30843687076347,3.34501779837106,5.95117343952543,6.45968874521562,5.24479562142821,3.82968092569322,3.65112778701801,3.42088461140604
"BYSL",29.0918502280445,29.6917445215961,28.9362592487049,31.1837656970863,31.1740578784909,29.797250597205,26.7017877826189,27.6825122947803,28.108632798529,25.6227331368079,27.4231445742331,27.7000833578454
"BZW1",280.245248861496,255.156169177175,251.276426638001,313.624608316586,315.132072648244,304.606558007313,258.012624971655,257.315293782091,247.422923464775,300.391500835696,307.091595825493,323.727695505049
"BZW2",41.4163087213765,40.0420357456736,39.6752252586318,49.8002834053986,48.2561126840228,49.0835875267251,39.2606190219052,38.1043178209682,37.209531110889,43.0513942552457,48.0864112529364,46.4695387478609
"C10orf12",23.2530529031649,21.4440377100416,21.7470469198637,24.4753745795356,25.0139975961071,24.0029519841271,22.1492114583776,20.8828399313954,22.7150486488333,22.8769241712165,22.3168571619543,23.0531294830593
"C10orf2",24.9042579775478,23.7441024265033,24.5663458723505,26.2769730674368,25.9276245143932,24.688750612245,21.3500131067867,21.3012813076037,20.6320092530888,22.6601497791961,23.2825540041728,23.2650426890756
"C10orf35",4.18759225049676,4.70467782912614,4.22894842873013,3.6617855445146,3.48839368800165,3.68091916724514,4.70956171473236,4.43286332920667,3.75691033875354,3.0348414882852,3.17489372784175,3.25438137810752
"C10orf54",3.16622828696096,4.3561831751168,3.42160372869983,3.38348984313149,3.15616571771578,3.07909588134575,3.22533620463489,3.60905686979658,2.96337152132705,2.60129270424445,3.01614904144966,2.54295847219564
"C10orf55",16.1715960893167,16.1469189690996,17.3515035530321,10.6191780790923,11.1988511650529,11.7005643491138,16.26939501453,16.2538322070911,17.7430319958954,13.1509797825692,12.8583195977591,12.6391090731152
"C10orf76",28.7684183062582,25.7769879082245,26.9114900010099,28.1811015505844,27.8102496793465,26.8301218388173,23.3622803848996,25.4595424836737,24.0789434912851,26.4464758264853,26.2457881501584,27.6698100427002
"C10orf88",7.26870687382974,7.08605796485666,7.00980239550115,8.09986962446629,7.33670101047966,7.93566983965017,6.72182899284527,6.73429089835231,5.90194495460952,8.4108464103904,7.34194174563404,8.64303147395067
"C10orf95",2.53638717611389,2.88088913981058,2.96026390011109,1.81624563007924,2.00721065381047,1.94542876139572,2.29769526082397,2.34065644816517,2.16983270390056,1.82090489297112,2.26211178108724,1.99803879958229
"C10orf99",1.19159129079176,0.987401519693141,0.576674785735927,1.0545942368202,1.43965453790544,1.91743698065621,0.32824218011771,0.287678446143206,0.297577056534934,3.20826100190149,3.637899063152,3.17869809024455
"C11orf1",3.11516008878417,3.62434440169718,3.79323859061854,5.02396976707403,5.23259053200247,5.20647121754826,3.62493538043036,3.85750643692026,3.5833237224415,4.50890735402372,4.59036718150452,5.38865009584315
"C11orf24",34.6582838293146,37.184379582797,36.8943712918607,34.3182541231908,34.4132805887782,33.8420629140637,33.2238171875664,33.0699450134621,36.0440209727939,33.0797722223086,34.4608256709489,33.1644167415515
"C11orf31",34.4369883038819,34.4080388391892,32.652607867892,31.5060028250036,33.0151545471585,31.6447081260124,32.9383892048554,33.7629885428071,35.9448286206156,30.0015758556194,31.7092511068194,31.7869809024455
"C11orf45",4.23866044867355,4.17031935964515,4.47243333826308,4.26231837381499,4.96957672219283,5.12249587532974,4.32423393807244,4.40671074319365,4.63724246433605,4.14761670065643,4.77556931562863,4.37449403847941
"C11orf49",12.8010950096486,14.5554600491236,13.0969251338248,11.2343580505708,11.3095938218149,11.7985355817021,14.0573281485193,12.8932249044182,14.0233187892088,11.6480106645613,12.3688568147168,10.5956603008152
"C11orf52",0.714954774475056,0.789921215754513,0.871419676223178,1.50865564434001,1.06589807133384,1.2316383525383,0.742112755048735,0.679967236338486,0.929928301671669,1.31509797825692,1.04506918541457,1.13524931794448
"C11orf54",3.76202393235684,2.93897158214547,2.67833400486242,5.74167973379889,5.93857496885995,5.36042601161555,3.09689361241491,2.86370816842555,3.2485495338397,5.47716630504804,5.41054806119697,5.76706653515798
"C11orf57",21.2954386397213,22.1061775526594,21.0294071865035,27.331567304257,25.7061392008693,26.1303273203296,20.6507145491446,20.307483039109,20.3344321965538,23.6428603563551,24.9626019351557,24.5213852676008
"C11orf58",86.1690730569699,85.4857386284921,89.5511867271701,91.544638612865,89.2308956859469,88.2300928909254,84.4010544876581,82.6160192151261,84.5242830999435,89.1231783726419,89.5452318490032,86.2486748486355
"C11orf63",4.11950131959437,3.84505768256976,4.43398835254735,4.33555408470529,3.86215015457325,3.94684108427046,4.40986233288575,3.84443014391375,3.5833237224415,3.95974556090545,3.59821289155398,4.04148757188236
"C11orf68",29.8238277352452,32.7817304538123,30.8585085344914,22.6005403807441,24.2249561666781,24.7307382833542,33.3094455823798,35.6982799077705,35.833237224415,24.7122806903223,26.8807668957268,24.4759752948831
"C11orf70",1.82143240163883,1.591458919976,1.84535931435497,1.94806990968177,2.02105348590572,2.05739588435375,1.98372447984181,1.79145214189178,1.52508241474154,1.90761464977927,2.01076602763311,1.7558522784208
"C11orf71",1.51502321257809,1.20811480056573,1.51216943815199,1.53794992869613,1.39812604161971,1.51155615993337,1.46995411096192,1.51684998875508,1.47548623865238,1.53187237027729,1.62713303551889,1.40770915425116
"C11orf72",30.0281005279524,29.5407301715254,29.2438191344308,31.8721813794551,32.0046278042056,31.8126588104495,27.272643748041,28.1924877220342,28.8897725719332,33.860160033582,29.5397403927942,30.1219485694603
"C11orf73",15.7970959693536,14.4392951644538,13.9170848290937,16.2583278176448,17.8295677386751,16.347199951872,15.1562258819569,14.2662356701017,14.4076891538997,15.1886590675607,15.5305218186925,16.0297203693761
"C11orf74",3.55775113964968,3.27584974768783,3.22937880012119,4.77496835004704,5.32949035666919,5.08050820422048,3.26815040204154,3.60905686979658,3.4717323262409,4.16206832679113,4.56390973377251,5.0556436292461
"C11orf80",11.1158444698146,10.640703435752,10.6236310527796,9.57923098445019,10.4790238961002,10.1470205180712,11.3314909136288,11.6379007757933,10.5515864629679,11.3734297680021,11.2311865622402,10.9589400825574
"C11orf84",23.4062574976953,23.9648157073759,23.1951413818228,19.4660519546396,19.7121929036284,21.3297369235042,22.6344390289864,22.2035455250529,23.1614142336357,19.5096952818334,19.6181974932888,19.3597850353466
"C11orf91",1.25968222169415,1.54499296610809,1.58905940958344,1.42077279127166,1.5503971946674,1.84745752880745,1.55558250577523,1.63453662581367,1.25230344625118,1.90761464977927,1.85202134124102,1.92235551171933
"C11orf95",16.12052789114,16.2630838537694,15.5574042196314,11.1025337709683,11.4757078069578,11.6025931165256,16.1837666197166,14.6716007533035,16.651916121934,12.457301728104,11.3237876293022,12.4877424973893
"C11orf98",25.3979172265901,25.4401097426821,24.9379807342692,26.5259744844638,28.0317349928704,25.8084218418253,24.3041927278461,24.7403463683157,22.9258323972122,23.7873766177021,25.465293442064,25.6263612704001
"C12orf10",14.5714592131107,16.0539870613638,14.8397644862712,14.7057307467706,15.4347577861978,15.2275287222917,16.3550234093433,15.8615434168958,17.0114883985804,14.2493033688057,15.7157239528166,13.986271597076
"C12orf29",16.3077779511215,13.5564420409635,13.4301150100278,16.4633878081376,17.3865971116273,15.0595780378547,13.2295869986573,12.3178680121318,13.862131216919,15.4343367118504,17.0650537871494,17.7552993326517
"C12orf4",16.2226642874935,15.7287253842884,16.8004587577733,17.547276329314,17.5665539288654,17.9987150155029,14.4283845260437,13.8870231729129,14.4820834180335,15.7233692345443,17.1047399587474,17.2406529751836
