"","fpool_eGFPorf_IL17_1h1","fpool_eGFPorf_IL17_1h2","fpool_eGFPorf_IL17_1h3","fpool2_eGFPorf_IL17_1h1","fpool2_eGFPorf_IL17_1h2","fpool2_eGFPorf_IL17_1h3","fpool_TNIP1orf_IL17_1h1","fpool_TNIP1orf_IL17_1h2","fpool_TNIP1orf_IL17_1h3","fpool2_TNIP1orf_IL17_1h1","fpool2_TNIP1orf_IL17_1h2","fpool2_TNIP1orf_IL17_1h3"
"NOCT",43.6153282611101,42.1402419017466,42.1084685964594,42.5676233491972,41.4906685528334,42.4468824925963,39.1179559626954,38.6617167030757,40.9800063123248,36.1541582637993,34.8859997914246,35.0083074287003
"NOD1",9.43827733469563,9.0888476158135,9.46488194617703,9.63464726010636,10.1316048167074,10.6640744630356,8.72561590129648,8.32659694486048,8.78783505165826,9.243886840618,9.56803123270554,9.66717336502984
"NOD2",4.41501639767429,4.11570458074574,3.66288001013043,2.6714249221204,2.44555978334316,2.12637134308262,4.77075882395561,5.01474879471851,5.13691232611511,2.16429508539152,1.70420113923626,1.7698569822246
"NOG",11.9027164165328,10.2435314009672,10.4221145888244,20.3495428493761,18.2089394154065,20.4582697402646,8.66895605778157,9.58322017913421,9.73579393478175,19.1918214800983,21.5197163464343,22.2707003596596
"NOL10",45.5029837280493,44.5867996247455,46.9630055698856,40.1589615341706,41.3928461614997,40.8843217329068,39.6958863665475,40.4350822019106,40.506026870763,41.3432512998585,40.6335016727704,40.304470367933
"NOL11",61.1285762043787,63.4275805943815,64.8573953793761,57.8808733126086,57.6313631228983,54.6896265891326,58.121667477597,60.6115188045486,57.389943194503,58.2273605503526,58.0096701512578,56.9035835800092
"NOL12",14.0944941531455,14.0048280872598,13.7724288380904,13.795063122425,13.0802511840526,14.2241355753178,11.7285876075868,11.7558865187663,12.6052910945069,12.555519079711,13.3440063059153,14.3063439396489
"NOL3",6.13488026755216,6.83664260912764,6.44666881782955,7.54714035374998,6.83359276602746,7.152339972187,5.53000072705543,6.08346575097,6.14892248512532,6.12782343454225,6.82794312648253,6.27494748243269
"NOL4L",5.15959160963361,4.89311544599771,4.84476929339918,3.62029169773693,4.06661655401634,3.78558534563952,7.01448862714614,6.88206743256452,7.45556851321445,5.38466186907649,4.99007915279637,4.58553854485466
"NOL6",123.924581404554,121.996343280938,126.862628190864,139.293642660507,139.061516594559,143.417303541398,111.313928569397,109.995637497268,113.780686485173,141.03120444988,146.550159404781,144.900336415919
"NOL7",41.727672794171,42.4146222071297,42.4014989972698,45.7061826839288,45.5992089888499,44.1383142427757,40.8517471742517,39.8948516525967,41.4027447331771,43.7943806736754,44.6433867062675,41.846391223659
"NOL8",42.9756227973141,42.4146222071297,44.56015628324,38.5677849412136,40.5543685214963,38.677406020768,46.2797601829803,46.4011065291167,43.7982624513405,41.4345167552666,40.3327602952582,37.9982930880646
"NOL9",100.947619581978,98.0223640980943,98.7024066729813,105.324212093435,106.430761771094,109.44368867351,88.7179829756496,89.9718747455235,95.0649036710729,97.9669474194692,103.265678182087,106.325499007887
"NOLC1",247.303840118658,246.039106339525,251.283336374974,220.560432504465,215.7123475182,219.741147659016,239.784457755109,240.202944024304,234.158654386678,219.832406233653,212.880341000545,210.612980884728
"NOM1",52.0258820638056,52.9211014007556,52.4036033449327,56.4502741739868,54.6268182462195,53.1109569556319,49.6453548877661,46.6829659461501,49.0376568188744,52.8035849146726,52.7411267600241,52.0230688714505
"NOMO1",113.227867091899,113.307633610475,110.658047026047,104.331551466637,107.884123013767,110.957922811766,109.38749388989,110.653309470346,114.510871030282,109.883608311324,110.071344169495,109.54342079375
"NOMO2",109.190381787612,103.109832260405,105.217449251,134.636896484789,131.80868500853,131.448410299653,103.064255353625,107.341461320204,103.353138770815,136.389704146269,138.775437867612,135.568363236916
"NOMO3",36.0227584940883,37.6586969138235,34.9780621767388,56.479470074775,56.6391645822276,57.3153730203634,37.1121975022675,35.3498685529338,36.7654323589785,57.249516385266,57.6309587869831,57.9091841380914
"NONO",243.539016159596,238.928083425014,248.079537326114,224.385095507719,223.272620905564,220.868768825802,232.565993691309,237.12597872169,231.968100751353,223.469986527775,224.787471836124,228.445630781385
"NOP10",47.0550560008659,47.5935504712347,48.2718746935055,41.1224262601812,40.2888506021619,40.4977087614372,50.7218919145494,49.9595816691629,49.6653593225643,41.6952751992896,43.273342653156,41.9000232534234
"NOP14",105.257766231489,99.1198853196265,105.051398690541,110.068545971518,104.51623782642,107.720039175708,96.4690495684896,93.3189553227946,98.715826396616,104.08173293181,102.619641148913,104.03272973546
"NOP14-AS1",19.2226248383301,20.281277572897,18.4511475710303,18.9335416611484,17.9993200054057,19.1051243401211,19.1283631706344,19.7653916194643,21.0856800219089,18.5268874478395,18.0222055116619,17.0415774576324
"NOP16",37.3650912705784,37.9559422446551,37.117184102655,40.5385082444172,40.1630789561614,40.2560756542687,34.9704554174038,32.7309248029988,34.4723966822338,39.6743972581108,38.8736076858467,38.6418774452372
"NOP2",83.0987884445868,79.0443929757667,80.5833602228694,75.6027850910467,74.1633472582981,78.2891267225875,75.3462599061303,73.9176321169984,75.7086080981055,73.103629781869,73.6036675037465,75.1384736998991
"NOP56",167.172865547092,163.553527033746,165.151933896761,151.90627180101,153.245763337949,154.16192237349,152.086351962727,147.85875251875,152.91601605196,150.288129212699,152.152859882139,148.70821052919
"NOP58",103.988842278713,102.938344569541,107.239359016592,90.4926944930292,92.1486926363704,91.1762257715731,99.2113859946113,100.905671297943,99.048893031227,90.6787489090242,88.7632606442729,86.6693600992412
"NOP9",95.8194888967933,96.5475699566604,93.6622837790418,88.6825486441608,88.2357969830213,88.3088462331738,97.7495620319266,94.9396469707364,99.6253545142075,82.7256163663205,81.1890333587784,84.8324630798111
"NOS1",20.1245046725343,19.3781090676778,19.4083802136778,56.8736147354157,56.7090377188946,56.2682962226333,23.230535841114,24.2164215801161,23.5580592711364,65.385179838786,68.2014612780629,64.4254757544638
