"","fpool2_eGFPorf_unt_1h1","fpool2_eGFPorf_unt_1h2","fpool2_eGFPorf_unt_1h3","fpool_eGFPorf_unt_1h1","fpool_eGFPorf_unt_1h2","fpool_eGFPorf_unt_1h3","fpool_eGFPorf_IL17_1h1","fpool_eGFPorf_IL17_1h2","fpool_eGFPorf_IL17_1h3","fpool2_eGFPorf_IL17_1h1","fpool2_eGFPorf_IL17_1h2","fpool2_eGFPorf_IL17_1h3"
"LTBR",109.338694888282,111.185361679336,111.564676702417,108.829571295818,111.531362717134,109.279738249416,112.315500282878,108.425950677202,105.256519971108,114.856673700783,109.672875312441,114.985141264574
"LTN1",56.0956502473185,52.4689258176128,52.9351888523485,72.8638904825171,70.0180194803809,72.919292782502,71.290454801401,72.2763454429848,74.9864795673901,53.72045745029,58.2741959802342,51.8866825459782
"LTV1",31.2276413730959,29.4936653030918,30.3001134687328,31.924722437671,31.963013072066,32.3659549136192,32.8766660491898,32.5369312133399,34.5678196156042,29.5170556968713,28.4243919961142,28.3355090339571
"LUADT1",2.73514537550491,2.94598034600343,2.94663392394494,1.69236718295624,2.07500209706296,2.07660601611696,1.96106429065342,1.94352716312993,1.67027328461948,3.06556958276111,2.64120456601062,2.75461742172067
"LUC7L",27.5192540848347,27.9360205224463,27.7703666594296,26.421650917582,26.7888091249026,25.8716010670368,25.9657496452293,25.0829329171004,26.8806554343438,27.882085252732,27.9772039214458,29.5597834436107
"LUC7L2",82.0711412981258,79.0674035392874,82.1078121701185,79.3915924739197,77.1741164561493,78.2232355370428,80.8336018842599,80.6335122444435,81.9508354266515,78.8143341777488,78.1321414209807,76.9843079438777
"LUC7L3",71.3822602907846,72.4304823000153,73.3531827626422,79.0001606084741,73.4231511268432,76.0275884117217,76.7017338066265,80.8507299862051,79.0107637385201,70.4497086019292,70.7255889342842,68.6560201834707
"LURAP1",3.89296765102539,3.25073693352103,3.78040815322839,2.87817548121809,2.97949019065451,2.83053304107662,2.75807437669439,2.37796264665309,2.49075840688869,3.19695113630802,3.71725087068161,3.54395223847104
"LURAP1L",10.9070214360625,11.2759937381511,10.7822167377792,14.4139028099402,13.3811032669573,14.7346439614923,13.2660231426555,13.9476655236383,13.5380045174421,11.2988136050338,11.7247123327138,11.2278850464287
"LUZP1",217.385327237215,215.496769217998,217.169762606887,225.695008535198,218.021534442045,222.315884833719,226.287942586736,218.018017652281,224.969206382197,221.786660337569,210.136471212178,216.052215556243
"LUZP6",68.1940540248586,65.7596992176857,63.8784756116938,73.1747334344886,67.1981448356543,72.826705253121,71.9721081644623,77.2494884780526,77.0669954131442,68.1724283404495,71.8435591209554,64.1133177687033
"LXN",2.28208448508385,2.72587836612961,3.1929763098696,2.92422628891758,3.31202257800434,2.94957415028078,3.05170967155159,3.37259125366664,3.32101120918492,2.48165156699709,2.23594037334232,2.54520206217465
"LY6D",26.0426111827216,29.6121817537931,30.9728176764502,26.2604730906338,26.8021104203966,27.8423927638612,36.2010370659659,39.350708797019,33.718031453254,22.1304927974564,26.5378173061067,25.3875851265016
"LY6E",213.777620146825,222.13369045727,216.250716013245,213.376417475584,222.078429567713,214.84274853368,218.70585979453,214.31388352961,212.994030669078,225.830292596735,221.539767116224,231.0495770745
"LY6G5B",2.75192540848347,3.06449679670472,2.8992603881902,2.54430712539679,2.63365650781068,2.47340971346415,2.85245715004135,2.40082767210168,2.48099072686168,2.7006208229086,2.73902695734434,2.8190529169656
"LY6G6C",1.87936369359847,1.96398689733562,1.98021379454821,3.56893759671043,2.74006687176263,3.87544944409089,3.68092816053129,4.33292232250732,3.75078913037356,1.88313560083897,1.84465080800741,1.82030274066921
"LY6K",12.5011245690255,12.0717470500026,12.3076445890819,10.0505887804136,9.86956125654305,11.0179159963403,9.58509498212423,9.96915109558411,9.67977090677135,14.7439298980415,14.0584750973898,14.8362727801447
"LY75",5.70521121270963,5.62106594754677,6.67019383426764,7.85166271276294,8.45962393417976,8.69000097190347,7.63451766628713,8.43719439052876,7.81414402161158,6.62746947892164,5.68767332468953,6.040827679212
"LYAR",39.8190182581175,40.2955932384377,41.3381472995877,43.8058308241393,46.2619057281088,45.6985591444847,45.8385669221718,46.9533297586743,46.8067226894534,40.1297656333824,41.0993789874985,39.0318012446151
