"","logFC","logCPM","F","PValue","FDR"
"HOXC4",0.0543678100943346,0.956652781619599,0.548400541624875,0.471213255402423,0.625275953054206
"VTI1B",-0.0260400934098986,5.00383032202242,0.54702910441284,0.471613073595541,0.62574626558192
"TMEM38B",-0.0443998767049835,2.78218071892733,0.546855417136723,0.471682144063397,0.625752457323771
"MOK",-0.0358478615154341,2.87802596212232,0.546789116470525,0.471708514467683,0.625752457323771
"FBXW7",-0.0242248367514053,5.11477242592856,0.546166744340963,0.471956178486132,0.625985953540046
"POGZ",0.0163401175211737,5.79724550354282,0.546118619778516,0.471975338148167,0.625985953540046
"PRR12",-0.0230147177057374,6.35076093682181,0.545587793303975,0.472186761799547,0.626206125907113
"SEPT2",-0.022098659988028,7.89684280920037,0.544702301896968,0.472539803334107,0.626614049107179
"FLYWCH2",0.0370998285976348,3.18705083294527,0.544127702383298,0.47276913345516,0.626825565016397
"ALKBH4",-0.0417720883298735,2.98002367642791,0.544074840404991,0.472790240850476,0.626825565016397
"TAS2R3",-0.0900311416953486,0.180953785546469,0.543711804602279,0.472935241604381,0.626930586429182
"NSFP1",-0.0704430586159736,0.706182934705482,0.543648836195469,0.472960399611947,0.626930586429182
"ZNF440",-0.0291637331690902,3.64627580067217,0.542730628758946,0.473327513038378,0.627356895045194
"GON4L",-0.0169796393006128,5.65509564200802,0.541873373688478,0.473670694208687,0.627751404504006
"VPS13D",0.0173268119775023,7.42759638976358,0.540553511258533,0.474199897068814,0.628337043407538
"PAN3-AS1",0.0688221039113546,0.888710188485388,0.540543940763847,0.474203738061611,0.628337043407538
"GTF2IRD2B",0.455548698090786,0.447841055515854,0.540301363158384,0.474301111094869,0.628348718846413
"AGFG2",-0.0311374133825662,3.0267109534166,0.540289216845325,0.474305987639042,0.628348718846413
"SUPT20H",-0.0189063508659034,5.15632699044334,0.540181405585271,0.474349275821678,0.628348718846413
"MAP1LC3B",-0.0162240365026431,5.91859916621085,0.540019153447965,0.474414435687289,0.628374658931756
"CRISPLD2",-0.0526039621148574,0.962897961234294,0.636150501521588,0.474500509255802,0.628428292133501
"ZNF589",0.0235268357094576,4.040006493914,0.539283107595535,0.474710220517963,0.628627755289393
"TTC37",0.0174823582045403,6.57601491690985,0.539203308679209,0.474742307106199,0.628627755289393
"CDKN2AIPNL",0.0342374225818263,4.0089421633281,0.538601591268187,0.474984372511686,0.628887884742017
"ZNF684",-0.095280676381004,0.477444765779556,0.538200048136793,0.47514602667876,0.628940828312906
"ABCA12",-0.121984226438826,6.03635858855217,0.538173533601982,0.47515670426229,0.628940828312906
"RNLS",-0.0683805784826631,1.16676125370446,0.538162333490388,0.475161214746299,0.628940828312906
"FMN1",0.030039739454998,3.77404702514637,0.537978904099238,0.475235095410181,0.628978233696857
"DPH6",0.0488328500150595,2.56368909620178,0.537612499018111,0.475382732647058,0.629113240065751
"RPL27",0.019616792003095,8.27789428042255,0.536860426497888,0.475686013750059,0.62945417713524
"SPINK5",-0.139713943255334,5.05495839444472,0.536194238951394,0.475954936647827,0.629749588441804
"KLK9",0.176850867839983,1.77954688929678,0.53593994532811,0.476057656919535,0.629825056707574
"GPR156",-0.0654956729022071,2.20208120201358,0.535351338074422,0.476295566269918,0.630079348701147
"GALNT6",-0.0242244462224987,6.04115327486056,0.534975571436034,0.476447553704411,0.630158699271844
"ATCAY",-0.0430303269118107,2.95105050868668,0.534901910840176,0.476477357132474,0.630158699271844
