"","fpool2_eGFPorf_IL17_24h1","fpool2_eGFPorf_IL17_24h2","fpool2_eGFPorf_IL17_24h3","fpool_eGFPorf_IL17_24h1","fpool_eGFPorf_IL17_24h2","fpool_eGFPorf_IL17_24h3","fpool2_TNIP1orf_IL17_24h1","fpool2_TNIP1orf_IL17_24h2","fpool2_TNIP1orf_IL17_24h3","fpool_TNIP1orf_IL17_24h1","fpool_TNIP1orf_IL17_24h2","fpool_TNIP1orf_IL17_24h3"
"EIF4EBP1",75.9789766676057,71.2045286332966,71.9245863942389,56.263534255117,55.6298691099663,57.6549209911209,90.0039230749542,86.5808787804408,82.1780089528327,54.343234936656,68.3202008362871,55.837424644022
"EIF4EBP2",98.207673116225,96.232010628829,95.5589226527681,107.483182425193,107.043990318126,109.523197658448,86.099762154988,92.0362658224669,91.2642926328479,110.837888265232,100.451179694613,107.477918677546
"EIF4EBP3",1.04476247995984,1.19320533947711,1.04918782456088,0.74955582687916,0.555098478173882,1.22380728518889,1.30138697332207,1.49699275031851,1.44524099770492,1.08898955640415,0.901831804363587,1.13134651239522
"EIF4ENIF1",19.4105871276749,19.6729730346289,20.0450094902946,19.628993216398,19.548468028664,20.5478754056406,18.9221665921029,18.1798254197335,19.9791186071616,19.0838779579606,20.4458153360716,19.8411415238344
"EIF4G1",919.074804245724,906.806227869118,910.211853115423,907.27486545165,854.761640418345,867.346973096772,863.157923925594,865.909546931833,837.356575836925,801.031500897918,852.888104009626,793.013080107736
"EIF4G2",796.466428472542,777.820730671642,773.955486952057,893.954633778152,890.963062792225,848.733015376368,697.34820965463,702.751731308177,706.401683211551,819.942734170107,782.583873203739,770.410479892356
"EIF4G3",98.4001293625334,97.0374242329761,95.2690154907184,99.722156467715,99.3326222699803,103.19263898568,98.18964713715,97.4484703813108,98.73137112099,105.910874540526,104.792855667049,107.112968189676
"EIF4H",362.642555543955,355.440955563488,356.226876644327,372.825945140416,368.615394830602,363.349893845772,354.992338582793,358.328245446433,351.608400136082,360.096973437788,363.000184567835,351.070204314125
"EIF5",176.221187244805,179.115036522258,173.599169655961,193.885107219409,195.439672301923,186.184903399786,155.619854269853,150.620501339739,159.966767468191,169.869090438604,155.334086645882,163.716788858224
"EIF5A",617.605841278365,597.154527208064,588.732420608198,636.981911129746,621.470252969592,616.874415394779,582.032309948561,581.653654304045,578.377418164856,566.460494376375,609.058550732694,572.30319006057
"EIF5A2",9.18291232385754,9.69479338325153,9.6497669653691,10.4937815763082,9.24163952851652,8.92926056230411,8.45901532659344,8.07512435508351,8.84541018039772,10.9562973662613,8.05206968181774,10.2672737253932
"EIF5B",161.072131285387,165.318599784554,157.654275743226,198.241900463145,204.726319815157,195.18970762167,145.495063617407,148.000764026682,159.09694649735,196.56261493095,179.27127939599,188.217131610525
"EIF6",123.089516388953,121.692029559922,122.478873414527,115.525291817751,115.205438213439,113.995382305558,118.009770740845,118.651069623803,115.886917038191,109.629375464833,124.826405035411,106.249252035052
"ELAC1",3.32674368618791,3.81825708632676,4.00347985687702,4.20063577980196,4.75584371840866,5.13696885141015,3.44867547930348,4.0879417412544,4.52306904837282,4.40907966739242,4.35455928392703,4.65920122846633
"ELAC2",94.3585481900571,88.8937977910448,90.9618233688369,92.6638390979362,88.1106314139246,86.5881426100928,84.1476816950049,86.7104262299876,83.1682666734824,83.0288134955947,84.089374101159,78.0264143064831
"ELAVL1",109.645072896838,104.241401470069,106.17504682497,97.7701881685505,99.0175663769627,93.9309863212261,104.032874647366,102.356879303028,101.207015422614,90.6384600299798,88.3537502046497,88.5491533733848
"ELAVL2",8.2343779670519,7.65142923939698,9.26322408263615,5.37181675930065,5.67100607431696,6.48164599192633,7.39187800846934,7.4705695905318,7.89529804301764,6.04256400199865,3.91652669323615,5.44992728551675
