"","fpool_eGFPorf_IL17_1h1","fpool_eGFPorf_IL17_1h2","fpool_eGFPorf_IL17_1h3","fpool2_eGFPorf_IL17_1h1","fpool2_eGFPorf_IL17_1h2","fpool2_eGFPorf_IL17_1h3","fpool_TNFAIP3orf_IL17_1h1","fpool_TNFAIP3orf_IL17_1h2","fpool_TNFAIP3orf_IL17_1h3","fpool2_TNFAIP3orf_IL17_1h1","fpool2_TNFAIP3orf_IL17_1h2","fpool2_TNFAIP3orf_IL17_1h3"
"DUSP5",135.365870929168,129.518936653523,127.614739552944,158.081204817715,141.856442061237,148.491598791936,104.777504401761,99.3903605903931,99.7317210832193,164.911885451123,162.046247822399,163.917631223626
"DUSP6",121.229428876757,114.988212980946,118.716383048334,139.833766825089,134.491813456541,135.411193257216,108.621490943347,105.776405883669,104.827076178819,164.448169922993,158.928587582934,166.438768332596
"DUSP7",246.664134654862,238.459350403318,232.314501762512,275.784478845347,265.867285017735,278.11970635092,266.488903889411,270.397809316461,268.973429588076,270.175310336529,257.900784317878,270.927514409534
"DUSP8",13.9791374301659,13.0330645056948,12.0826201934169,17.8386953815909,15.9869736693976,15.9800028207421,12.8022899410749,13.9016976549375,11.8696953946212,12.3738827769305,12.3625140131412,11.7021566387422
"DUSP9",0.901879834204249,1.01749363246214,0.752111362080115,1.21162988271034,1.0620716773376,1.01485905010762,0.659911852632726,0.813317089237949,0.905192022714038,0.927431056259089,1.20741754938843,1.15127070293976
"DUT",52.7809442505812,49.7771604015748,53.0971086268507,63.9828165773427,62.5504319442514,60.3277324230638,48.5035211685054,50.305168112125,48.9533685832286,59.0261055148054,62.1910143722309,59.9097956934857
"DUXA",1.25843697795942,1.18898132332655,1.18188928326875,1.73715609689796,1.64900602533996,1.82030274066921,1.00636557526491,1.34046705448477,1.05119073605501,1.85486211251818,1.78409458790231,2.01108046842642
"DUXAP8",1.49963739873497,1.36046901419095,1.36747520378203,1.86853765044487,1.9983717086747,2.31967782881741,1.66627742789763,1.79230988183918,1.59138597541662,1.94028339401573,1.29752333665622,2.14223789028032
"DVL1",131.401794448596,124.87733648746,124.186283863462,148.037814946574,138.740100165891,151.342869456525,148.430673453416,153.475947024717,144.188329295546,145.094148143692,150.65687631175,149.708910522787
"DVL2",39.7666085035176,39.5793590515048,38.8460634674366,42.1442827877682,41.1133536148319,42.8334954640659,35.1733017453243,36.1775490435103,34.9666918451633,42.112691778291,39.7366521850968,43.4713988211306
